N/A,Property Name,City,State,Units,Property Type,Acquisition Date,N/A,N/A,N/A,N/A,NOI,N/A,Debt Service,DSCR,Market Value,N/A,N/A,Current Balance,Maturity Date,Rate Type,N/A,N/A,N/A,N/A,Lender,N/A
90,Plumly Townehomes,Barnesville,OH,31,Affordable,1981,No,19.80%,"252,330","181,822","70,508",FY 2018 Audited,"24,732",2.85,"760,000", Imputed price based on pending buyout of SP interests ,9.28%,"865,545",23-Dec,Fixed,No,,Legacy,n/a, Berkadia ,Second and third notes payable from and to the extent of surplus cash
91,Post Road Gardens,Bayonne,NJ,252,Affordable,1978,No,12.20%,"4,082,788","1,666,440","2,416,348",FY 2017 Audited, -   ,,"45,000,000", Contract sales price ,5.37%, -   ,,n/a,n/a,,Legacy,n/a,,Property is subject to a ground lease
92,Reserve at Northglenn,Northglenn,CO,220,Affordable - LIHTC,2018,Yes,0.00%,,, -   ,,,,"50,963,000"," Acquisition price +
total renovation cost ",,"48,800,000",Dec-35,Fixed,No,SPR,New Affordable,Enterprise, Citi Community Capital ,"Acquired in Q4 2018; extensive LIHTC renovation underway, including the construction of 36 new units; outstanding debt includes $13.6 million in bridge funding to be repaid from equity installments"
93,Reserve at Thornton I,Thornton,CO,216,Affordable - LIHTC,2011,Yes,0.00%,"2,660,388","1,007,110","1,653,278",FY 2018 Unaudited,"1,103,004",1.5,"20,122,000", BOV / 2015 ,8.22%,"14,021,207",Dec-43,Fixed,No,SPR,New Affordable,Alden Torch, Adams County (Pacific Servicing / Wells Fargo) ,
94,Reserve at Thornton II,Thornton,CO,60,Affordable - LIHTC,2011,Yes,0.00%,"647,499","246,400","401,099",FY 2018 Unaudited,"268,680",1.49,"5,082,000", BOV / 2015 ,7.89%,"2,896,438",Aug-38,Fixed,No,SPR,New Affordable,Alden Torch, Colorado Housing Finance Authority ,
95,"Rev, The",Tempe,AZ,172,Conventional,2019,Yes,4.90%,,, -   ,,,,"28,200,000", Acquisition price ,,"20,332,000",26-Oct,Fixed,No,SPR,PPM,Liberty Mutual, Freddie Mac (CBRE) ,
96,Ridgewood / La Loma,"Sacramento
Rancho Cordova",CA,75,Affordable - LIHTC,2016,No,0.00%,"822,852","546,204","276,648",FY 2018 Unaudited,"325,368",0.85,"6,138,406", Imputed acquisition price ,4.51%,"3,802,970","Jan-40
Jan-22
Sep-40
Dec-28",Fixed,No,John Stewart,New Affordable,Reiner," California Housing Finance Agency
Sacramento Housing Authority ","Third note payable from and to the extent of surplus cash; fourth note is payable to the original seller, does not accrue interest, and is payable only at maturity"
97,Riverpointe,Richland,WA,228,Conventional,2019,No,5.00%,,, -   ,,,,"33,200,000", Acquisition price ,,"23,254,000",26-Jul,n/a,n/a,SPR,Other,Blackstone, Freddie Mac (CBRE) ,
98,Sanctuary,Portland,OR,182,Conventional,2018,Yes,5.00%,,, -   ,,,,"58,300,000", Acquisition price ,,"37,895,000",26-Jan,Variable,No,SPR,Other,Tokyu Land, Sumitomo Mitsui Trust Bank ,Acquired in Q4 2018
99,Saratoga Downs,Napa,CA,178,Conventional,2015,Yes,1.50%,"4,962,134","1,714,386","3,247,748",FY 2018 Unaudited,"1,299,012",2.5,"58,050,000", Acquisition price ,5.59%,"38,475,000",25-Apr,Fixed,No,SPR,Fund II,Intercontinental, Fannie Mae (CBRE) ,
100,Seasons at Farmington,Bend,OR,228,Conventional,2018,Yes,4.60%,"3,833,108","1,399,001","2,434,107",FY 2018 Unaudited,"1,443,796",1.69,"45,500,000", Acquisition price ,5.35%,"29,501,952",27-Nov,Fixed,No,SPR,PPM,Loma Linda, Fannie Mae (Walker & Dunlop) ,
101,Spruce Hill,Asheville,NC,174,Affordable - LIHTC,2016,Yes,0.00%,"1,709,998","785,128","924,870",FY 2018 Unaudited,"522,108",1.77,"10,491,000"," Acquisition price +
total renovation cost ",8.82%,"10,570,489",Jul-51,Fixed,No,Evergreen,New Affordable,PNC, HUD (Bellwether) ,
102,Sterling Village,San Bernardino,CA,80,Affordable - LIHTC,2016,No,0.00%,"1,120,270","619,367","500,903",FY 2018 Unaudited,"271,548",1.84,"7,643,374", Imputed acquisition price ,6.55%,"3,502,586","Apr-38
Apr-21",Fixed,No,John Stewart,New Affordable,Reiner, California Housing Finance Agency (Citibank) ,"Second note is payable to the original seller, does not accrue interest, and is payable only at maturity"
103,Stillwater,Glendale,AZ,516,Conventional,2017,Yes,1.60%,"4,167,396","2,234,324","1,933,072",FY 2018 Unaudited,"1,483,038",1.3,"51,200,000", Appraisal / 2019 ,3.78%,"37,189,000",26-Sep,Variable,No,SPR,Fund IV,Oaktree, Freddie Mac (CBRE) ,
104,Stoneridge Farms,Gallatin,TN,364,Conventional,2018,Yes,18.80%,,, -   ,,,,"55,000,000", Acquisition price ,,"40,100,000",23-Nov,Fixed,No,SPR,Fund V,RGA, Freddie Mac (Grandbridge) ,Acquired in Q4 2018
105,Suncrest,El Paso,TX,100,Affordable - LIHTC,2010,Yes,82.50%,"1,021,006","571,317","449,689",FY 2018 Unaudited,"217,116",2.07,"5,621,113", 8% cap ,8.00%,"2,566,879",27-Oct,Fixed,No,ConAm,New Affordable,n/a, Freddie Mac (Prudential) / City of El Paso ,
106,Sylva on Main,Bellevue,WA,74,Conventional,2017,Yes,3.40%,"1,735,235","891,045","844,190",FY 2018 Unaudited,"483,360",1.75,"28,000,000", Acquisition price ,3.01%,"15,200,000",21-Jul,Fixed,No,SPR,Fund IV,CIGNA, Jackson National Life (PPM America) ,
107,Taluswood,Mountlake Terrace,WA,512,Conventional,2019,Yes,2.80%,,, -   ,,,,"136,250,000", Acquisition price ,,"88,562,500",21-Jun,Variable,No,SPR,Fund V,Rockwood, Citibank ,
108,Terra Heights,Tacoma,WA,252,Conventional,2014,Yes,5.00%,"3,432,021","1,586,305","1,845,716",FY 2018 Unaudited,"1,328,988",1.39,"27,000,000", Appraisal / 2018 ,6.84%,"20,151,335",24-May,Fixed,No,SPR,Other,Rubino Family, Fannie Mae (Wells Fargo) ,
109,Tessera at Orenco Station,Hillsboro,OR,304,Conventional,2018,Yes,1.30%,"5,350,738","1,652,093","3,698,645",FY 2018 Unaudited,"2,277,600",1.62,"85,000,000", Acquisition price ,4.35%,"54,000,000",25-Oct,Fixed,No,SPR,Fund V,Pacific Life, Freddie Mac (CBRE) ,
110,Tower on 19th,Costa Mesa,CA,270,Affordable - LIHTC,2016,No,0.00%,"4,212,135","1,639,751","2,572,384",FY 2018 Unaudited,"1,566,708",1.64,"41,827,875", Imputed acquisition price ,6.15%,"34,210,644",Jul-54,Fixed,No,John Stewart,New Affordable,Reiner, HUD (Prudential) ,Second note is payable to the original seller
111,Trax at Dupont Station,Dupont,WA,178,Conventional,2017,Yes,20.30%,"3,209,394","1,349,513","1,859,881",FY 2018 Unaudited,"898,101",2.07,"38,500,000", Appraisal / 2019 ,4.83%,"25,765,000",26-Mar,Fixed,No,SPR,PPM,Loma Linda, Freddie Mac (Walker & Dunlop) ,
112,University Village,Dekalb,IL,534,Affordable - LIHTC,2016,Yes,0.00%,"6,255,058","3,697,666","2,557,392",FY 2018 Unaudited,"2,232,120",1.15,"58,863,000"," Acquisition price +
total renovation cost ",4.34%,"45,839,928",Apr-52,Fixed,No,Evergreen,New Affordable,PNC, HUD (Pillar) ,
113,Verona,Henderson,NV,275,Conventional,2015,Yes,0.80%,"3,722,710","1,514,316","2,208,394",FY 2018 Unaudited,"1,573,488",1.4,"52,000,000", LOI ,4.25%,"24,599,313",23-Jun,Fixed,No,SPR,Fund II,RGA, Freddie Mac (Walker & Dunlop) ,
114,Village Crest,Commerce City,CO,120,Affordable - LIHTC,2018,Yes,0.00%,"1,583,950","604,985","978,965",FY 2018 Unaudited,"732,920",1.34,"21,731,000"," Acquisition price + 
total renovation cost ",4.50%,"14,400,000",20-May,Fixed,No,SPR,New Affordable,R4, Citi Community Capital ,Extensive LIHTC renovation underway
115,Village East,St Joseph,MO,108,Affordable - LIHTC,2011,Yes,0.00%,"840,721","590,844","249,877",FY 2018 Unaudited,"221,820",1.13,"3,123,463", 8% cap ,8.00%,"2,898,095",27-Jun,Fixed,No,ConAm,New Affordable,PNC, Freddie Mac (PNC) ,
116,Villas at Kennedy Creek,Tumwater,WA,118,Conventional,2019,Yes,10.60%,,, -   ,,,,"28,150,000", Acquisition price ,,"21,562,000",29-Oct,Fixed,No,SPR,PPM,Loma Linda, Fannie Mae (CBRE) ,
117,West Virginian Manor,Bluefield,WV,151,Affordable,1979,No,38.90%,"1,244,197","891,672","352,525",FY 2017 Audited,"251,136",1.4,"6,360,000", Appraisal / 2015 ,5.54%,"4,433,007",Oct-50,Fixed,No,First American Management,Legacy,n/a, Capital Funding LLC ,
118,Willows at Printers Park,Colorado Springs,CO,220,Conventional,2018,Yes,6.90%,"3,208,085","1,106,697","2,101,388",FY 2018 Unaudited,"1,243,112",1.69,"41,000,000", Acquisition price ,5.13%,"28,316,000",25-Apr,Fixed,No,SPR,Fund IV,Aetna, Freddie Mac (CBRE) ,
119,Windham Village,Santa Rosa,CA,50,Affordable - LIHTC,2016,No,0.00%,"973,073","325,013","648,060",FY 2018 Unaudited,"269,028",2.41,"10,136,635", Imputed acquisition price ,6.39%,"4,903,270","May-28
Apr-61",Fixed,No,John Stewart,New Affordable,Reiner," California Housing Finance Agency (US Bank / Citibank)
Housing Authority of the City of Santa Rosa ",Second note payable from and to the extent of surplus cash
120,Winfield,Colorado Springs,CO,160,Affordable - LIHTC,2014,Yes,8.30%,"1,851,108","737,564","1,113,544",FY 2018 Unaudited,"656,964",1.69,"18,000,000", Contract sales price ,6.19%,"10,039,690",23-May,Fixed,No,SPR,New Affordable,Enterprise, Fannie Mae (Citi Community Capital) ,
121,Winhaven Court,Winona,MN,118,Affordable - LIHTC,2016,Yes,0.00%,"976,343","537,899","438,444",FY 2018 Unaudited,"321,348",1.36,"10,465,000"," Acquisition price +
total renovation cost ",4.19%,"8,541,921",Mar-51,Fixed,No,Evergreen,New Affordable,Enterprise, HUD (Pillar) / MHFA ,Second note of $2.28 million bears no interest and is payable only to the extent of 20% of surplus cash in excess of $50k
122,Woodstone,Bothell,WA,124,Conventional,2017,Yes,6.90%,"2,495,610","1,041,810","1,453,800",FY 2018 Unaudited,"754,850",1.93,"26,000,000", Acquisition price ,5.59%,"19,090,000",24-Jun,Fixed,No,SPR,Fund IV,Aetna, Freddie Mac (CBRE) ,
123,Woodsvilla,Elma,WA,50,Affordable,1982,Yes,31.70%,"387,158","304,512","82,646",FY 2017 Unaudited,"74,508",1.11,"826,460", 10% cap ,10.00%,"1,851,813",Sep-31,Fixed,No,Guardian,Legacy,n/a, Leader Mortgage Company / USDA Rural Development ,
